Price,Close,Volume,Adj_Close,Returns,MA_7,MA_30,RSI,Volatility
Ticker,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,
1981-09-28,0.06417399644851685,91728000,0.04914873465895653,0.008770770835980768,0.05568170387830053,0.06540357259412606,7.842486783799529,0.03741123240864532
1981-09-29,0.06752199679613113,94684800,0.05171286314725876,0.05217079353303267,0.05439952867371695,0.06460579348107179,17.542702804871368,0.04029251042252158
1981-09-30,0.06808000057935715,49996800,0.052140235900878906,0.008264341357452132,0.053117361451898305,0.06387924067676068,17.542627147414237,0.03661422379518635
1981-10-01,0.06808000057935715,61129600,0.052140235900878906,0.0,0.052323599479028156,0.06318117740253608,18.180501332366376,0.0359710690491899
1981-10-02,0.07366099953651428,45046400,0.05641454830765724,0.08197723567848847,0.052323599479028156,0.06259710167845091,33.33428247544202,0.041210424827543134
1981-10-05,0.07589299976825714,43097600,0.05812397599220276,0.030301185347140214,0.05262885774884905,0.06224094902475675,40.00061016269552,0.0421898684366727
1981-10-06,0.07533500343561172,28358400,0.057696569710969925,-0.007353355890350133,0.05391102337411472,0.062013026947776474,41.37975498321083,0.041855331064862326
1981-10-07,0.07979899644851685,38841600,0.06111540645360947,0.059255459375941344,0.055620547916208,0.06184205897152424,51.61274041307142,0.04439528869114799
1981-10-08,0.08258900046348572,31091200,0.06325220316648483,0.03496330691177407,0.05726902506181172,0.061785078172882396,54.54518560272234,0.045200780546611675
1981-10-09,0.08314699679613113,54521600,0.06367954611778259,0.006756174961573436,0.05891749794994082,0.06172809787094593,54.54522762523403,0.04518248369266511
1981-10-12,0.0859379991889,27350400,0.06581711024045944,0.03356751504985889,0.06087133714130947,0.061628383025527,65.07955043059407,0.04524605471959497
1981-10-13,0.0859379991889,44195200,0.06581711024045944,0.0,0.06221456027456692,0.06152866818010807,68.33311905794369,0.044769976319739675
1981-10-14,0.08091499656438828,30979200,0.06197015196084976,-0.05844921275873427,0.06276401398437363,0.06115826877454917,60.29304754242111,0.04659015549545722
1981-10-15,0.08258900046348572,29433600,0.06325220316648483,0.020688204967530543,0.06355767590659005,0.06078786912063758,81.47983927331445,0.04627728850775043
1981-10-16,0.08147300034761429,36467200,0.06239750236272812,-0.013512585506422203,0.06374083246503558,0.060517187044024465,78.18059503160417,0.046421694394502507
1981-10-19,0.08314699679613113,20585600,0.06367954611778259,0.020546395392586625,0.06380188145807811,0.0603177297860384,76.92189714659648,0.04658996788881164
1981-10-20,0.08761200308799744,35728000,0.0670991763472557,0.053700606206396495,0.06429040006228856,0.06030348601440589,79.66034465744326,0.0457169062001141
